Table 1
News,Bajaj,Britannia,Cipla,GOLD,HDFC,Unilever,Infosys,Maruti,Reliance,ONGC
Bajaj Finance Q1 standalone net profit up 83% YoY on higher interest income  (Hint: You can also think of other competitors in this market)                                                                     ,7.0,0.0,0,0,0,0,0,-3,-1,0
Rajesh Agarwal of AUM Capital recommends buying Bajaj Finance,-3,0,0,0,0,0,0,-2,0,0
Buy Britannia Industries; target of Rs 3475: Sharekhan,0,-3.12,0,0,0,0,0,0,0,0
Britannia Industries Q4 net up 11.28% at Rs 294.27 cr,0,4,0,0,0,0,0,0,0,0
"Britannia rolls out Rs 170-cr unit in Assam; to hire 1,000 persons",0,5,0,0,0,0,0,0,0,0
"Cipla, Pulmatrix join hands to co-develop asthma drug",0,0,4.00,0,0,-1,0,0,0,0
Cipla launches Niveoli inhaler in India,0,0,3.00,0,0,-1,0,0,0,0
"Cipla's HR head Prabhir Jha quits, floats advisory firm",0,0,-2.00,0,0,1,0,0,0,0
Britain fixes final date for ‘Brexit’ : Theresa May (Hint: Which are the companies involved in trade with EU?),-0.5,0,-2.0,-6,-1,0,-2.5,-2,-2.50,0.0
Markets may be heading into a major speedbreaker in one week,-4,-6.0,-7.0,-4,-3.0,0.4,-4.0,-5,-8,-2
"Prime Minister Narendra Modi announced demonetisation, banning high-currency notes, to hit at black money, a few directors at the Reserve Bank of India (RBI) differed with the government, according to a TOI report ",-4,-3,-3,-11,-33,-7,-5,-11,-17,—6
"Fall in the currency exchange rate: $ becomes 12.3% cheaper. Worst drop in 50 years. (Hint: What will happen to the value of rupee? In which type of trade *ahm, foreign* will it help? )",-1,-4,-1,-9,-2,-3,-16,-1,-3,0
"current crisis over nuclear capability: Korea threatens US (Hint: What type of trade *ahm, US* will it affect?)",1,2,1,6,-2,1,15,-2,3,0
"Sensex, Nifty trade flat; Maruti slips 4% ahead of Q4 results ",2,0,0,0,0,0,0,-4,1,1
"5 stocks with rising turnover ratios that can be good investment: Bajaj, Maruti and Reliance among them",-6,-3,0,3,0,0,0,-9,-8,0
"Buy ONGC, target Rs 171: Dr CK Narayan",0,0,0,0,0,0,0,3,0,-6
IT stocks on the rise; not a good time to invest - S Dangwal,0,0,0,0,0,2,7,0,6,0
Share market update: IT shares dip; Infosys down over 7%,0,0,0,0,0,0,-8,0,-10,0
Domestic oil exports hit: price hike leads to declining oil shares,1,1,4,2,2,5,2,2,1,9
